exposure_usd,kind,miles_above,miles_total,name,quantity,rank,unit,voltage_kv,worst
10029.876251925622,line,0.0,2.2493826165743105,PUD NO 1 OF DOUGLAS COUNTY 115 kV #211394,0.0 of 2 mi above 40%,29,mi,115.0,0.02843603305518627
9815.284353665676,line,0.0,3.143835350691214,PUD NO 1 OF CHELAN COUNTY 115 kV #211360,0.0 of 3 mi above 40%,30,mi,115.0,0.023689469322562218
9536.894434131682,substation,,,TAP209238,"115 kV substation, P 0%",31,site,115.0,0.0008830457809381187
9536.894434131682,substation,,,TAP209279,"115 kV substation, P 0%",32,site,115.0,0.0008830457809381187
9442.606965927753,line,0.0,0.31790234181271565,PUD NO 1 OF OKANOGAN COUNTY 115 kV #211435,0.0 of 0 mi above 40%,33,mi,115.0,0.055005285888910294
9419.589313198047,line,0.0,6.515322256307049,PUGET SOUND ENERGY INC 230 kV #205726,0.0 of 7 mi above 40%,34,mi,230.0,0.05665242671966553
8684.127987362444,substation,,,OLDS STATION,"115 kV substation, P 0%",35,site,115.0,0.0008040859247557819
8576.455105822904,line,0.0,1.7267840089203688,PUD NO 1 OF CHELAN COUNTY 115 kV #211372,0.0 of 2 mi above 40%,36,mi,115.0,0.023689469322562218
7504.961730505767,line,0.0,0.29557525744313834,PUD NO 1 OF DOUGLAS COUNTY 115 kV #211395,0.0 of 0 mi above 40%,37,mi,115.0,0.06560483574867249
6978.99553924799,substation,,,PESHASTIN SUBSTATION,"115 kV substation, P 0%",38,site,115.0,0.0006462032906711102
6978.99553924799,substation,,,UNKNOWN209280,"115 kV substation, P 0%",39,site,115.0,0.0006462032906711102
6556.415604427457,substation,,,UNKNOWN206245,"115 kV substation, P 0%",40,site,115.0,0.0006070755189284682
5970.009486190975,substation,,,TAP209277,"115 kV substation, P 0%",41,site,115.0,0.000552778656128794
5436.023999936879,substation,,,TAP209278,"115 kV substation, P 0%",42,site,115.0,0.000503335555549711
5268.856894690543,substation,,,MANSON,"115 kV substation, P 0%",43,site,115.0,0.000487857119878754
5268.856894690543,substation,,,TAP209269,"115 kV substation, P 0%",44,site,115.0,0.000487857119878754
5268.856894690543,substation,,,TAP209282,"115 kV substation, P 0%",45,site,115.0,0.000487857119878754
5106.828000862151,substation,,,ANDERSON CANYON,"115 kV substation, P 0%",46,site,115.0,0.0004728544445242733
4650.016897358,substation,,,TAP203458,"115 kV substation, P 0%",47,site,115.0,0.00043055712012574077
4650.016897358,substation,,,TWISP,"115 kV substation, P 0%",48,site,115.0,0.00043055712012574077
4572.781128027449,line,0.0,6.241594660846165,PUD NO 1 OF CHELAN COUNTY 115 kV #211393,0.0 of 6 mi above 40%,49,mi,115.0,0.004198795650154352
4507.010104134679,substation,,,UNKNOWN202971,"115 kV substation, P 0%",50,site,115.0,0.00041731575038284063
4504.969916465516,line,0.0,13.165025876975438,PUD NO 1 OF CHELAN COUNTY 115 kV #211455,0.0 of 13 mi above 40%,51,mi,115.0,0.002182716503739357
4234.051227103919,substation,,,UNKNOWN202969,"115 kV substation, P 0%",52,site,115.0,0.0003920417802873999
4234.051227103919,substation,,,TAP209283,"115 kV substation, P 0%",53,site,115.0,0.0003920417802873999
4209.408984171727,line,0.0,11.906495960893457,PUD NO 1 OF CHELAN COUNTY 115 kV #211456,0.0 of 12 mi above 40%,54,mi,115.0,0.002182716503739357
3621.7814893461764,substation,,,UNKNOWN202970,"115 kV substation, P 0%",55,site,115.0,0.00033535013790242374
3621.7814893461764,substation,,,TAP209267,"115 kV substation, P 0%",56,site,115.0,0.00033535013790242374
3196.336515247822,substation,,,UNKNOWN209272,"34 kV substation, P 0%",57,site,34.5,0.0002959570847451687
3138.5720962578507,line,0.0,3.8815057659905117,PUD NO 1 OF CHELAN COUNTY 115 kV #211444,0.0 of 4 mi above 40%,58,mi,115.0,0.0027149852830916643
3124.293708888968,line,0.0,7.723589638402395,PUD NO 1 OF OKANOGAN COUNTY 115 kV #211430,0.0 of 8 mi above 40%,59,mi,115.0,0.004905405919998884
3110.3519549058087,line,0.0,3.6890166367875845,PUD NO 1 OF CHELAN COUNTY 115 kV #211374,0.0 of 4 mi above 40%,60,mi,115.0,0.0024726230185478926
3002.7343542315066,substation,,,PATEROS,"115 kV substation, P 0%",61,site,115.0,0.0002780309587251395
2996.8489563542107,line,0.0,0.4443881411903105,PUD NO 1 OF OKANOGAN COUNTY 115 kV #211431,0.0 of 0 mi above 40%,62,mi,115.0,0.016914913430809975
2820.855437312275,substation,,,LEAVENWORTH SUBSTATION,"115 kV substation, P 0%",63,site,115.0,0.0002611903182696551
