exposure_usd,kind,miles_above,miles_total,name,quantity,rank,unit,voltage_kv,worst
38312.432526546465,line,0.0,10.203627610044556,PACIFIC GAS & ELECTRIC COMPANY 230 kV #305914,0.0 of 10 mi above 40%,16,mi,230.0,0.22000710666179657
35349.09915179014,substation,,,TAP305477,"60 kV substation, P 0%",17,site,60.0,0.003273064736276865
34264.97206091881,substation,,,TAP310873,"60 kV substation, P 0%",18,site,60.0,0.003172682598233223
31892.343918780545,line,0.0,14.52843748148734,line 230 kV #309773,0.0 of 15 mi above 40%,19,mi,230.0,0.10521054267883301
31280.76036841771,line,0.0,1.7517594726160408,PACIFIC GAS & ELECTRIC COMPANY 230 kV #310514,0.0 of 2 mi above 40%,20,mi,230.0,0.20055769383907318
28385.8148442617,line,0.0,12.713119573327791,PACIFIC GAS & ELECTRIC COMPANY 230 kV #307098,0.0 of 13 mi above 40%,21,mi,230.0,0.1520322561264038
28118.385216450537,line,0.0,12.575393308495052,PACIFIC GAS & ELECTRIC COMPANY 230 kV #305651,0.0 of 13 mi above 40%,22,mi,230.0,0.1520322561264038
28111.167889402037,line,0.0,12.570341319477674,PACIFIC GAS & ELECTRIC COMPANY 230 kV #305575,0.0 of 13 mi above 40%,23,mi,230.0,0.1520322561264038
28051.43819274133,line,0.0,12.560552176776081,PACIFIC GAS & ELECTRIC COMPANY 230 kV #303841,0.0 of 13 mi above 40%,24,mi,230.0,0.1520322561264038
24287.24241704615,line,0.0,29.100115291016156,line 230 kV #311237,0.0 of 29 mi above 40%,25,mi,230.0,0.11757213622331619
22576.571405853545,line,0.0,29.60699666343321,line 230 kV #308370,0.0 of 30 mi above 40%,26,mi,230.0,0.01798621006309986
22196.573930736726,line,0.0,29.724326638100106,line 230 kV #305639,0.0 of 30 mi above 40%,27,mi,230.0,0.01798621006309986
22098.000333587093,line,0.0,12.262490601143233,PACIFIC GAS & ELECTRIC COMPANY 230 kV #310706,0.0 of 12 mi above 40%,28,mi,230.0,0.11757213622331619
20749.668000206697,line,0.0,73.36238005867062,line 500 kV #310067,0.0 of 73 mi above 40%,29,mi,500.0,0.0015011823270469904
18949.835607782006,substation,,,HATCHET RIDGE WIND,"69 kV substation, P 0%",30,site,69.0,0.0017546144081279635
16212.769132107496,substation,,,COW CREEK,"69 kV substation, P 0%",31,site,69.0,0.0015011823270469904
15754.340123930062,line,0.0,13.781893570494155,line 115 kV #300628,0.0 of 14 mi above 40%,32,mi,115.0,0.020332353189587593
13444.308238103986,substation,,,KESWICK,"230 kV substation, P 0%",33,site,230.0,0.0012448433553799987
11985.818726865473,line,0.0,2.5302843289452848,PACIFIC GAS & ELECTRIC COMPANY 230 kV #305309,0.0 of 3 mi above 40%,34,mi,230.0,0.01798621006309986
11207.770479661973,line,0.0,6.182526012768536,REU 115 kV #304285,0.0 of 6 mi above 40%,35,mi,115.0,0.014503579586744308
11148.095084354281,substation,,,COLEMAN,"69 kV substation, P 0%",36,site,69.0,0.0010322310263291001
11148.095084354281,substation,,,BELTLINE RD,"69 kV substation, P 0%",37,site,69.0,0.0010322310263291001
11148.095084354281,substation,,,DESCHUTES,"69 kV substation, P 0%",38,site,69.0,0.0010322310263291001
10805.448330938816,substation,,,SHASTA,"230 kV substation, P 0%",39,site,230.0,0.0010005044750869274
9243.727521970868,substation,,,EAST REDDING,"69 kV substation, P 0%",40,site,69.0,0.0008559006964787841
8959.563402459025,substation,,,COLEMAN HATCHERY,"69 kV substation, P 0%",41,site,69.0,0.0008295892039313912
8723.612627054541,line,0.0,6.17634354628635,line 230 kV #301409,0.0 of 6 mi above 40%,42,mi,230.0,0.010013571009039879
8417.153474874794,substation,,,COTTONWOOD,"230 kV substation, P 0%",43,site,230.0,0.0007793660624884069
7600.31221836589,line,0.0,33.89510521794309,PACIFIC GAS & ELECTRIC COMPANY 230 kV #308122,0.0 of 34 mi above 40%,44,mi,230.0,0.0014550630003213882
7200.385280884802,substation,,,INSKIP,"69 kV substation, P 0%",45,site,69.0,0.0006667023408226669
6913.6299147008385,line,0.0,33.51572982682937,PACIFIC GAS & ELECTRIC COMPANY 230 kV #306904,0.0 of 34 mi above 40%,46,mi,230.0,0.0015011823270469904
